3	nyheter	trondheim	- Det blir fyrverkeri	Oppskytingen av fyrverkeriet fra Festningen vil gå som planlagt.	http://www.adressa.no/nyheter/trondheim/2016/12/31/Det-blir-fyrverkeri-14000281.ece		
4	100sport	vintersport	Her koker det over for Tønseth. Så stakk han fra stadion i sinne.	Byåsen-løperen var rasende da staven brakk og semifinaleplassen glapp.	http://www.adressa.no/100Sport/vintersport/langrenn/Her-koker-det-over-for-Tonseth-Sa-stakk-han-fra-stadion-i-sinne-228102b.html		
6	nyheter	sortrondelag	Slik blir ferieåret 2017	Det er ekstra mange fridager og rekordlang sommerferie for skolebarn.	http://www.adressa.no/nyheter/sortrondelag/2016/12/30/Slik-blir-ferie%c3%a5ret-2017-13996424.ece		
9	nyheter	innenriks	Én av tre nordmenn vil trene mer i 2017	Nesten én av tre sier de planlegger å trene mer i 2017, mens en firedel vil spise sunnere i året som kommer. For mange vil trikset for å lykkes være å senke ambisjonene, mener Helsedirektoratet.	http://www.adressa.no/nyheter/innenriks/2016/12/31/Mange-nordmenn-vil-trene-mer-i-2017-14000934.ece		
10	nyheter	okonomi	Rema reklamerer med bokstaven æ	Rema har noe på gang med en æ. Men ingen som vet, vil si hva det dreier seg om.	http://www.adressa.no/nyheter/okonomi/2016/12/29/Rema-reklamerer-med-bokstaven-%c3%a6-13993634.ece		
12	nyheter	sortrondelag	Slik så det ut i containeren da politiet åpnet dørene	Fyrverkeri-tyveriet på Sveberg er fremdeles et mysterium. Politiet etterlyser observasjoner.	http://www.adressa.no/nyheter/sortrondelag/2016/12/30/Slik-s%c3%a5-det-ut-i-containeren-da-politiet-%c3%a5pnet-d%c3%b8rene-13996180.ece		
17	100sport	sjakk	På dette bildet skiller Magnus Carlsen seg ut: - Litt tilfeldig	– Det er helt fantastisk, sier Torstein Bae om verdenseneren.	http://www.adressa.no/100Sport/sjakk/Pa-dette-bildet-skiller-Magnus-Carlsen-seg-ut---Litt-tilfeldig-228091b.html		
22	nyheter	trondheim	Her kan du sende opp fyrverkeri	Fyrverkeriforbudet gjelder ikke i hele Trondheim. På dette kartet kan du se hvor grensen går.	http://www.adressa.no/nyheter/trondheim/article1426837.ece		
23	nyheter	innenriks	Trondheim bruker 500 000 kroner mindre enn Stavanger	Landets fem største byer fyrer opp fyrverkeri for litt over to millioner kroner på nyttårsaften.	http://www.adressa.no/nyheter/innenriks/2016/12/31/Storbyene-svir-av-millioner-p%c3%a5-fyrverkeri-13999156.ece		
24	100sport	vintersport	Norsk løper reiser hjem fra Tour de Ski	Martine Ek Hagen er blitt syk i løpet av natten og er ikke med når Tour de Ski starter senere lørdag.	http://www.adressa.no/100Sport/vintersport/langrenn/Norsk-loper-reiser-hjem-fra-Tour-de-Ski-228087b.html		
25	100sport	vintersport	Northugs trener tror ikke Sundby vinner Tour de Ski	Petter Northug er fortsatt ikke tilbake i normal trening.	http://www.adressa.no/100Sport/vintersport/langrenn/Northugs-trener-tror-ikke-Sundby-vinner-Tour-de-Ski-228088b.html		
26	nyheter	moreromsdal	Mann (78) funnet død i en kum ved riksvei i Gjemnes	En 78 år gammel mann ble funnet død i en kum ved fylkesvei 666 i Gjemnes på Nordmøre 1. juledag. Politiet etterforsker dødsfallet som mistenkelig.	http://www.adressa.no/nyheter/moreromsdal/2016/12/30/Mann-78-funnet-d%c3%b8d-i-en-kum-ved-riksvei-i-Gjemnes-13995887.ece		
28	nyheter	trondheim	For første gang kan folk kjøpe dette på nyttårsaften	Det er en historisk dag på Vinmonopolet. For aller første gang er det åpent på en nyttårsaften.	http://www.adressa.no/nyheter/trondheim/2016/12/31/Handler-inn-til-fem-retters-middag-14000000.ece		
29	nyheter	sortrondelag	Hurtigruta snudde på Folda	Hurtigruta «Richard With» møtte kraftig vind og bølger på 12-15 meter over Folda lørdag formiddag. Derfor valgte kapteinen å snu skipet og de går nå tilbake til Rørvik.	http://www.adressa.no/nyheter/sortrondelag/2016/12/31/Hurtigruta-snudde-p%c3%a5-Folda-13999851.ece		
30	pluss	okonomi	Nyttårskvelden er skapt for sprudlende drikke	For første gang er Vinmonopolet åpent på nyttårsaften. Gaute Skjold er butikksjef på polet på Valentinlyst og tror han vil selge mest musserende.	http://www.adressa.no/pluss/okonomi/2016/12/31/Nytt%c3%a5rskvelden-er-skapt-for-sprudlende-drikke-13961449.ece		
31	nyheter	adressa noogda	Adressa-glimt fra 1970	Episoder 43 år tilbake.	http://www.adressa.no/nyheter/adressa_noogda/article8302883.ece		
33	nyheter	trondheim	Her får du minst 5000 i bot for rakettoppskyting	Men noen eksplosiver kan du bruke i Midtbyen også.	http://www.adressa.no/nyheter/trondheim/article8885355.ece		
34	nyheter	innenriks	15 000 mer i engangsbeløp til nybakte foreldre	Nybakte foreldre, som ikke har tjent opp rett til foreldrepenger, får 15 000 kroner mer i engangsstønad fra nyttår. Nyankomne innvandrere får derimot kutt i retten til tiltakspenger.	http://www.adressa.no/nyheter/innenriks/2016/12/31/15-000-mer-i-engangsbel%c3%b8p-til-nybakte-foreldre-13988480.ece		
36	nyheter	trondheim	I dag åpnet nytt lekeland på Lade	Leos lekeland har flyttet fra Tiller til Lade. Med på laget er cirka 30 nye ansatte.	http://www.adressa.no/nyheter/trondheim/2016/06/23/I-dag-%c3%a5pnet-nytt-lekeland-p%c3%a5-Lade-12937063.ece		
39	nyheter	okonomi	Byggeboom gir kraftig vekst for Hent	Entreprenørselskapet omsatte for over tre milliarder kroner i 2011.	http://www.adressa.no/nyheter/okonomi/article5947431.ece		
42	100sport	vintersport	Trodde du at 2017 blir et kjedelig idrettsår? Tro om igjen	Høydepunktene står i kø. Her er det aller viktigste å få med seg.	http://www.adressa.no/100Sport/vintersport/Trodde-du-at-2017-blir-et-kjedelig-idrettsar-Tro-om-igjen-227773b.html		
43	nyheter	trondheim	Brannutrykning til kjøkken på Singsaker	Varmegang i et kjøleskap utløste full brannutrykning lørdag ettermiddag. Brannvesenet har situasjonen under kontroll.	http://www.adressa.no/nyheter/trondheim/2016/12/31/Brannutrykning-til-kj%c3%b8kken-p%c3%a5-Singsaker-13999863.ece		
44	100sport	fotball	Slik blir fotball-VM i Qatar	Beskyldninger om korrupsjon, umenneskelig behandling av gjestearbeidere og et lite gjestfritt klima. Likevel er Qatar i VM-rute.	http://www.adressa.no/100Sport/fotball/Slik-blir-fotball-VM-i-Qatar-228047b.html		
47	100sport	mesterskap	Quiz: Hvem er mannen som hilser på Kong Harald på dette bildet?	Vi har dykket ned i arkivet og funnet frem noen gamle idrettshelter. Men husker du dem?	http://www.adressa.no/100Sport/mesterskap/Quiz-Hvem-er-mannen-som-hilser-pa-Kong-Harald-pa-dette-bildet-227536b.html		
50	nyheter	trondheim	Storbyhallen skal ligge på Nidarø	Massive protester og aksjoner har ikke påvirket flertallet i bystyret. Torsdag kveld banket de gjennom at den nye storbyhallen skal ligge på Nidarø.	http://www.adressa.no/nyheter/trondheim/2016/12/15/Storbyhallen-skal-ligge-p%c3%a5-Nidar%c3%b8-13937493.ece		
52	100sport	fotball	- La oss håpe at Viking blir norges ledende lag i «gegenpress»	BLOGG: Johan Selvig oppsummerer 2016-sesongen og ser frem mot 2017.	http://www.adressa.no/100Sport/fotball/--La-oss-hape-at-Viking-blir-norges-ledende-lag-i-gegenpress-228089b.html		
54	100sport	vintersport	Koteng: - Vanskelig å få investorer	Ivar Koteng liker tanken om ny hockeyhall i byen. Men tror det blir tøft for hockeyfamilien å få med private investorer på prosjektet.	http://www.adressa.no/100Sport/vintersport/Koteng---Vanskelig-a-fa-investorer-227928b.html		
56	nyheter	oppdraget	Kildesortering?	Ikke akkurat dum, men full av dumme spørsmål. Jeg tar oppdraget med å finne svar på spørsmålene man ikke stiller høyt sammen med andre.	http://www.adressa.no/nyheter/oppdraget/2015/10/25/Hvorfor-har-ikke-Trondheim-kommune-kildesortering-...N%c3%a5r-Namsos-har-...-11717979.ece		
57	nyheter	okonomi	Har du leieboer må du måle radon	Neste år må huseiere vite hva radonnivået er i utleieboliger.	http://www.adressa.no/nyheter/okonomi/article8866981.ece		
58	nyheter	sortrondelag	Nå blir det ny vei mellom Trondheim og Klæbu	Veiarbeid skaper store utfordringer for trafikantene til sommeren.	http://www.adressa.no/nyheter/sortrondelag/2016/12/18/N%c3%a5-blir-det-ny-vei-mellom-Trondheim-og-Kl%c3%a6bu-13937400.ece		
59	nyheter	utenriks	Slik feires nyttårsaften	Se bildene fra nyttårsfeiringen.	http://www.adressa.no/nyheter/utenriks/article6885389.ece		
60	pluss	magasin	Trond og Aleksander har hatt julepynten framme i tre måneder. Nå er de klare for nyttårsfest.	Når Aleksander og Trond pakker ned julepynten og lar nyttårsstasen overta, har de hatt julehjem i tre måneder.	http://www.adressa.no/pluss/magasin/2016/12/30/Hos-Trond-varer-jula-i-tre-m%c3%a5neder-13961721.ece		
